"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"4","1585469015.601142310","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"5","1585469015.670180652","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"7","1585469015.670268784","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"8","1585469015.739959606","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"10","1585469015.740110092","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"12","1585469015.809823293","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"14","1585469015.809949891","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"22","1585469015.882475607","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"23","1585469015.952171904","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"25","1585469015.952267102","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3143"
"26","1585469016.022464641","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"28","1585469016.022555045","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"30","1585469016.093153016","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"32","1585469016.093320686","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"40","1585469017.186794829","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"41","1585469017.256714957","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"43","1585469017.256957158","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3243"
"45","1585469017.326812737","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"47","1585469017.326901654","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"48","1585469017.396516139","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"49","1585469017.396583363","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"57","1585469017.466781280","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"58","1585469017.535575861","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"60","1585469017.535672751","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3343"
"62","1585469017.604041577","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"64","1585469017.604172277","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"65","1585469017.672617943","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"75","1585469018.752669723","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"77","1585469018.820652454","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"79","1585469019.099804628","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3443"
"80","1585469019.167714784","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"82","1585469019.167789400","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"83","1585469019.235641832","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"85","1585469019.235729307","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"93","1585469019.308847771","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"97","1585469019.375390944","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"99","1585469019.375474273","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3543"
"100","1585469019.442496491","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"102","1585469019.442607735","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"103","1585469019.509905181","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
"105","1585469019.510046357","10.0.2.4","3.81.217.129","MQTT","56","Disconnect Req",""
"113","1585469019.581052580","10.0.2.4","3.81.217.129","MQTT","93","Connect Command",""
"114","1585469019.649086074","3.81.217.129","10.0.2.4","MQTT","60","Connect Ack",""
"115","1585469019.649172780","10.0.2.4","3.81.217.129","MQTT","72","Publish Message (id=1) [tempreture]","3643"
"116","1585469019.717668048","3.81.217.129","10.0.2.4","MQTT","60","Publish Received (id=1)",""
"118","1585469019.717755357","10.0.2.4","3.81.217.129","MQTT","58","Publish Release (id=1)",""
"119","1585469019.785706910","3.81.217.129","10.0.2.4","MQTT","60","Publish Complete (id=1)",""
