"No.","Time","Source","Destination","Protocol","Length","Info","MsgInfo"
"6","1585469004.037240649","10.0.2.15","3.81.217.129","MQTT","93","Connect Command",""
"7","1585469004.105889994","3.81.217.129","10.0.2.15","MQTT","60","Connect Ack",""
"9","1585469004.105976238","10.0.2.15","3.81.217.129","MQTT","71","Subscribe Request (id=1) [tempreture]",""
"10","1585469004.175992105","3.81.217.129","10.0.2.15","MQTT","60","Subscribe Ack (id=1)",""
"12","1585469015.809502381","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=1) [tempreture]","3043"
"14","1585469015.809633725","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=1)",""
"15","1585469015.878480670","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=1)",""
"17","1585469015.878604254","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=1)",""
"19","1585469016.092841376","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=2) [tempreture]","3143"
"20","1585469016.092945252","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=2)",""
"21","1585469016.162002622","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=2)",""
"22","1585469016.162082700","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=2)",""
"24","1585469017.395659882","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=3) [tempreture]","3243"
"25","1585469017.395719110","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=3)",""
"26","1585469017.463049308","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=3)",""
"27","1585469017.463112129","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=3)",""
"29","1585469017.672070394","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=4) [tempreture]","3343"
"30","1585469017.672228888","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=4)",""
"31","1585469017.739221082","3.81.217.129","10.0.2.15","MQTT","60","Publish Release (id=4)",""
"32","1585469017.739308371","10.0.2.15","3.81.217.129","MQTT","58","Publish Complete (id=4)",""
"34","1585469019.234775163","3.81.217.129","10.0.2.15","MQTT","72","Publish Message (id=5) [tempreture]","3443"
"35","1585469019.234821674","10.0.2.15","3.81.217.129","MQTT","58","Publish Received (id=5)",""
